LanguageHaveWorkedWith,ConvertedCompYearly,YearsCode,ResponseId,,,ExperienceGroup,N Python,N JS/Java,Mean Python,Mean JS/Java,MeanDiff J minus Py,%Diff J vs Py,T Stat Welch,P Value Two Tailed
Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,80000,5,3330,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PHP;Swift;TypeScript,86500,25,3346,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;PHP;TypeScript,145000,12,3349,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Swift;TypeScript,190143,9,3353,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Java;Lua;Prolog;Python;Rust,220000,12,3355,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,138000,26,3366,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,130000,12,3382,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,160000,8,3391,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Ruby;Rust;Swift;TypeScript;Zig,240000,9,3395,,,,,,,,,,,
Bash/Shell (all shells);C++;Dart;Delphi;HTML/CSS;Java;JavaScript;Lisp;PHP;Python;R;Ruby;SQL;Swift;TypeScript,165000,18,3417,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,200000,23,3429,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL,100000,15,3441,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell,136000,30,3443,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL,150000,27,3444,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,160000,9,3452,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Java;JavaScript;Lua;PowerShell;Python;Rust;TypeScript,180000,8,3453,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;MicroPython;OCaml;Perl;PowerShell;Python;Ruby;Rust;SQL;TypeScript,330000,20,3472,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;Kotlin;Lua;PowerShell;Rust,36000,6,3476,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,185000,4,3481,,,,,,,,,,,
Bash/Shell (all shells);GDScript;HTML/CSS;Java;JavaScript;Lua;Python;SQL;TypeScript,480000,14,3492,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA,135000,6,3504,,,,,,,,,,,
Bash/Shell (all shells);C++;JavaScript;Lua;Python;SQL;Swift;TypeScript,390000,13,3515,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;Ruby;Rust;SQL;Swift;TypeScript,300000,29,3525,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,225000,30,3558,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;JavaScript;Lua;Python;R;Rust;SQL;TypeScript,180000,12,3563,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift;TypeScript,135000,10,3569,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,150000,15,3570,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,190000,10,3599,,,,,,,,,,,
Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;Rust;TypeScript,270000,7,3603,,,,,,,,,,,
C#;C++;Go;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,225000,30,3649,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,160000,10,3711,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,200000,10,3743,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript,250000,28,3853,,,,,,,,,,,
Java;JavaScript;SQL,75000,1,3893,,,,,,,,,,,
Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Python;SQL;TypeScript,167000,11,3929,,,,,,,,,,,
C;C++;Go;Java;JavaScript;PowerShell;Python;TypeScript,140000,22,3935,,,,,,,,,,,
Assembly;Bash/Shell (all shells);GDScript;Groovy;Java;MicroPython,80000,3,4168,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),190000,24,4382,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,126000,11,4383,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python,82315,6,4447,,,,,,,,,,,
HTML/CSS;JavaScript;Python;R;Rust;TypeScript,94000,10,4510,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,150000,12,4564,,,,,,,,,,,
Bash/Shell (all shells);C#;Groovy;Java;PowerShell;Python,150000,14,4633,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL,120000,9,4636,,,,,,,,,,,
Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,200000,21,4666,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,161200,30,4689,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,180000,29,4693,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript;Gleam,54000,13,4697,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;Python;R,150000,24,4701,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;TypeScript,71000,9,4707,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript,220000,30,4708,,,,,,,,,,,
GDScript;JavaScript;PowerShell;Python;SQL;VBA,80000,5,4737,,,,,,,,,,,
HTML/CSS;JavaScript;Python;TypeScript,130000,25,4756,,,,,,,,,,,
C#;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,120000,18,4772,,,,,,,,,,,
C;C#;C++;F#;Go;HTML/CSS;JavaScript;Lua;MicroPython;PHP;PowerShell;Python;R;SQL;TypeScript;Visual Basic (.Net),150000,12,4780,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;Lisp;Lua;Python,149000,15,4796,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;PowerShell;Python,200000,20,4799,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;SQL,165000,27,4803,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;Scala;SQL;TypeScript,204000,25,4823,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;Java;Python;Rust;TypeScript,122000,15,4827,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,155800,30,4848,,,,,,,,,,,
Delphi;HTML/CSS;JavaScript,107000,25,4855,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,140000,15,4856,,,,,,,,,,,
C#;HTML/CSS;JavaScript;TypeScript,120000,20,4867,,,,,,,,,,,
Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,220000,20,4875,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,140000,24,4877,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lisp;Lua;Python;Rust;SQL;TypeScript;Zig,74000,2,4882,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL,200000,11,4887,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),140000,30,4901,,,,,,,,,,,
C++;COBOL;HTML/CSS;JavaScript;Python;SQL;TypeScript,235000,27,4929,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,107000,11,4931,,,,,,,,,,,
Java;SQL,215000,27,4935,,,,,,,,,,,
JavaScript;TypeScript,94000,10,4944,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,98000,5,4961,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,96000,15,4968,,,,,,,,,,,
Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript,160000,15,4969,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,280000,9,4979,,,,,,,,,,,
HTML/CSS;JavaScript;TypeScript,80000,11,4991,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PowerShell;Python;Rust;SQL;TypeScript,100000,16,4993,,,,,,,,,,,
C;C++;Java;JavaScript;Kotlin;PowerShell;TypeScript,80000,8,4996,,,,,,,,,,,
Bash/Shell (all shells);C;C#;GDScript;Go;HTML/CSS;Java;JavaScript;Lisp;Lua;Perl;PowerShell;Rust;SQL;TypeScript;Gleam,180000,12,4998,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,100000,15,5002,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,100000,20,5027,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,65000,15,5069,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Perl;PowerShell;Python;Ruby;Rust;Scala;SQL;Swift;TypeScript,250000,27,5070,,,,,,,,,,,
Ada;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,55000,8,5078,,,,,,,,,,,
C#;F#;Go;Java;Kotlin;PowerShell;SQL,140000,30,5092,,,,,,,,,,,
HTML/CSS;JavaScript,83000,8,5098,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;Python;R;Ruby;SQL,120000,13,5102,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;Go;HTML/CSS;JavaScript;MicroPython;Perl;PowerShell;Python;Gleam,34000,13,5106,,,,,,,,,,,
Bash/Shell (all shells);C#;JavaScript;Lua;PowerShell;Python;SQL,250000,20,5142,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,184000,8,5149,,,,,,,,,,,
C#;C++;JavaScript;Python;TypeScript,70000,29,5154,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,160000,30,5155,,,,,,,,,,,
Java;JavaScript;Lua;Python;Ruby;SQL;Swift;TypeScript,145000,29,5161,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;TypeScript,200000,22,5165,,,,,,,,,,,
Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,140000,12,5173,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,90000,30,5189,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,140000,25,5196,,,,,,,,,,,
Bash/Shell (all shells);C#;Delphi;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,60000,6,5201,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,155000,7,5211,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,80000,4,5212,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL;TypeScript,125000,20,5213,,,,,,,,,,,
Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;SQL;TypeScript,56200,6,5229,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;TypeScript,114000,15,5230,,,,,,,,,,,
Go;Groovy;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript;Gleam,74000,5,5232,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,170000,25,5235,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Rust;Scala;SQL;TypeScript,149000,18,5236,,,,,,,,,,,
HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,140000,22,5238,,,,,,,,,,,
COBOL;HTML/CSS;JavaScript;SQL;TypeScript,141336,13,5249,,,,,,,,,,,
Ada;Bash/Shell (all shells);C;C++;Java;MATLAB;PowerShell;Python;R;SQL,240000,29,5250,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,275000,15,5287,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,150000,20,5297,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,160000,15,5311,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;VBA,135000,30,5321,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Go;JavaScript;Python;Rust;Zig,300000,25,5325,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;PowerShell;Python;SQL;TypeScript,120000,6,5327,,,,,,,,,,,
Elixir;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,250000,27,5334,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript,220000,27,5341,,,,,,,,,,,
HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,124700,21,5343,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;PowerShell;SQL,81000,9,5353,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,220000,20,5357,,,,,,,,,,,
C;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript;VBA,100000,25,5367,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,210000,20,5385,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,185000,30,5391,,,,,,,,,,,
C;C#;C++;JavaScript;Rust;Zig,110000,18,5392,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL,72000,20,5393,,,,,,,,,,,
C#;Dart;JavaScript;Python;Ruby;Rust;SQL;TypeScript,160000,16,5397,,,,,,,,,,,
Bash/Shell (all shells);Fortran;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Prolog;Python;Ruby;SQL;TypeScript;VBA,135000,8,5404,,,,,,,,,,,
Java;Lua;PowerShell;SQL,130000,30,5418,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Erlang;JavaScript;Rust;TypeScript,237000,14,5420,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,275000,20,5430,,,,,,,,,,,
C#;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),195000,29,5436,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;Fortran;Go;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;R;SQL;TypeScript;VBA;Visual Basic (.Net),144000,22,5438,,,,,,,,,,,
Bash/Shell (all shells);C++;Java;Perl;Python;R;Scala;SQL,150000,17,5452,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,120000,21,5465,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python,265000,15,5470,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Lua;Python;Rust,120000,15,5473,,,,,,,,,,,
C#;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,112000,15,5498,,,,,,,,,,,
Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift,190000,30,5504,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,168499,19,5506,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),145000,25,5509,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript,98000,6,5516,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,125000,11,5527,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,170000,5,5529,,,,,,,,,,,
C++;HTML/CSS;Java;PHP;SQL,68000,15,5536,,,,,,,,,,,
Bash/Shell (all shells);C#;COBOL;HTML/CSS;Java;JavaScript;PowerShell;Ruby;SQL;TypeScript,125000,26,5548,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,155000,9,5549,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),90000,8,5553,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,35000,26,5556,,,,,,,,,,,
Go;Java;JavaScript;Python;Rust;TypeScript,140000,10,5571,,,,,,,,,,,
Bash/Shell (all shells);JavaScript;Swift;TypeScript,170000,24,5575,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,160900,17,5582,,,,,,,,,,,
C#;F#;HTML/CSS;JavaScript;Python;SQL;TypeScript,350000,15,5593,,,,,,,,,,,
Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL,120500,11,5597,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,131000,25,5599,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Elixir;HTML/CSS;JavaScript;Lisp;Lua;Ruby;Rust;TypeScript;Zig;Gleam,124000,14,5602,,,,,,,,,,,
C#;C++;Elixir;GDScript;Java;JavaScript;PHP;Python;TypeScript,60000,8,5620,,,,,,,,,,,
Bash/Shell (all shells);C#;GDScript;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,250000,11,5636,,,,,,,,,,,
C#;HTML/CSS;JavaScript,95000,9,5642,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,92000,4,5672,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;Perl;Python;R,100000,26,5673,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript,167000,28,5679,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript,137470,16,5683,,,,,,,,,,,
C;Elixir;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript,215000,10,5717,,,,,,,,,,,
Bash/Shell (all shells);Dart;Go;Java;Python;Rust;SQL,350000,20,5723,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,140000,26,5735,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,125000,23,5736,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,140500,9,5737,,,,,,,,,,,
C;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,205000,24,5759,,,,,,,,,,,
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Ruby;SQL,260000,26,5766,,,,,,,,,,,
Dart;HTML/CSS;Java;JavaScript;Python;R;SQL,175000,30,5769,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,170000,17,5774,,,,,,,,,,,
Bash/Shell (all shells);C#;Fortran;HTML/CSS;Java;Lisp;Perl;PHP;PowerShell;Python;Rust;Scala;SQL;Visual Basic (.Net),110000,16,5789,,,,,,,,,,,
Elixir;Erlang;JavaScript;Python,280000,10,5794,,,,,,,,,,,
HTML/CSS;JavaScript;PHP;SQL,116000,29,5799,,,,,,,,,,,
Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;PowerShell;Python;SQL;Visual Basic (.Net),110000,17,5809,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL,300000,22,5820,,,,,,,,,,,
Assembly;C;C++;Dart;Go;HTML/CSS;JavaScript;Python;Ruby;Zig,230000,4,5826,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Lua;Rust;SQL;TypeScript,89000,6,5833,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,207000,20,5834,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,125000,18,5839,,,,,,,,,,,
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;TypeScript,115000,5,5841,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;Scala;Swift;TypeScript;Zig,225000,30,5842,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL,131835,28,5845,,,,,,,,,,,
Bash/Shell (all shells);Java;JavaScript;TypeScript,150000,25,5849,,,,,,,,,,,
Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;Lua;OCaml;Python;SQL;TypeScript,165000,9,5870,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,80000,4,5874,,,,,,,,,,,
C#;HTML/CSS;JavaScript;PowerShell;SQL,160000,14,5876,,,,,,,,,,,
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript;Zig,142000,9,5877,,,,,,,,,,,
C;Dart;HTML/CSS;JavaScript;Lisp;Lua;Python;Rust;TypeScript,50000,5,5882,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,92000,7,5891,,,,,,,,,,,
Bash/Shell (all shells);C;C++;GDScript;Go;Java;Python;Rust;SQL;TypeScript,360000,12,5894,,,,,,,,,,,
Assembly;Bash/Shell (all shells);C;Go;Groovy;Java;JavaScript;PowerShell;Python;SQL,112000,13,5921,,,,,,,,,,,
Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,186000,13,5930,,,,,,,,,,,
JavaScript;TypeScript,135000,10,5934,,,,,,,,,,,
C#;HTML/CSS;JavaScript;SQL;TypeScript,100000,11,5945,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;Scala;SQL;TypeScript,140000,20,5950,,,,,,,,,,,
Groovy;Java;PHP;PowerShell;Python;SQL,280000,24,5969,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL,150000,27,5979,,,,,,,,,,,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,110000,20,6189,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Perl;PHP;Python,165000,19,6217,,,,,,,,,,,
Java;Python,200000,25,6250,,,,,,,,,,,
Bash/Shell (all shells);C;C++;Java;MATLAB;PowerShell;Python;Rust,100000,15,6259,,,,,,,,,,,
C;F#;Fortran;Java;JavaScript;MATLAB;PowerShell;Python;R;SQL;TypeScript;VBA,130000,7,6278,,,,,,,,,,,
HTML/CSS;Java;JavaScript;SQL,176800,20,6280,,,,,,,,,,,
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,220000,22,6290,,,,,,,,,,,
Bash/Shell (all shells);C++;Elixir;Erlang;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,160000,5,6306,,,,,,,,,,,
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,123000,30,6315,,,,,,,,,,,
Go;Groovy;HTML/CSS;Java;JavaScript;SQL,185000,26,6338,,,,,,,,,,,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,245000,12,6350,,,,,,,,,,,
Go;HTML/CSS;JavaScript;SQL;TypeScript;Gleam,170000,10,6353,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python;TypeScript,180000,18,6354,,,,,,,,,,,
C;C++;Go;Java;JavaScript;Lisp;Lua;Python;SQL;TypeScript,170000,9,6364,,,,,,,,,,,
Go;HTML/CSS;JavaScript;Python;SQL,180000,30,6366,,,,,,,,,,,
Dart;Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,230000,30,6380,,,,,,,,,,,
JavaScript;Ruby;SQL,238000,26,6399,,,,,,,,,,,
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Ruby;Rust;SQL,230000,9,6415,,,,,,,,,,,
JavaScript;Swift,92000,6,6431,,,,,,,,,,,
HTML/CSS;Java;JavaScript;Python,265000,28,6449,,,,,,,,,,,
Bash/Shell (all shells);C;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust;Swift;TypeScript;Zig,180000,13,6453,,,,,,,,,,,
HTML/CSS;Java;JavaScript;TypeScript,145000,26,6457,,,,,,,,,,,
HTML/CSS;JavaScript;Ruby;SQL,160500,9,6459,,,,,,,,,,,
Bash/Shell (all shells);C++;Go;Java;Python,270000,13,6467,,,,,,,,,,,
Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;Ruby;Rust;SQL;TypeScript;Zig,150000,13,6511,,,,,,,,,,,
Bash/Shell (all shells);C++;GDScript;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,149000,12,6520,,,,,,,,,,,
Dart;JavaScript;TypeScript,85000,5,6521,,,,,,,,,,,
Bash/Shell (all shells);C;C#;C++;JavaScript;MicroPython;PowerShell;Python;TypeScript,160000,30,6535,,,,,,,,,,,
Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,186000,18,6543,,,,,,,,,,,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Zig,230000,20,6568,,,,,,,,,,,
